Day,Open,High,Low,Close,Volume
251,	3657.1,	3757.89,	3647.42,	3752.75,	3006076000.00
250,	3689.05,	3736,	3656.44,	3665.78,	4496620000.00
249,	3703.11,	3728.58,	3666.51,	3695.16,	4223800000.00
248,	3746.26,	3762.79,	3686.53,	3719.98,	4483740000.00
247,	3638.65,	3689.73,	3638.65,	3677.95,	4352780000.00
246,	3690.41,	3712,	3579.68,	3583.07,	4243030000.00
245,	3520.37,	3685.41,	3491.58,	3669.91,	5021680000.00
244,	3590.83,	3608.34,	3573.86,	3577.03,	4006830000.00
243,	3595.86,	3640.66,	3568.45,	3588.84,	4759030000.00
242,	3647.51,	3652.17,	3588.1,	3612.39,	3834320000.00
241,	3706.74,	3706.74,	3620.73,	3639.66,	4449660000.00
240,	3771.97,	3797.93,	3739.22,	3744.52,	4252100000.00
239,	3753.25,	3806.91,	3722.66,	3783.28,	4293180000.00
238,	3726.46,	3791.92,	3726.46,	3790.93,	5146580000.00
237,	3609.78,	3698.35,	3604.93,	3678.43,	4806680000.00
236,	3633.48,	3671.44,	3584.13,	3585.62,	5645360000.00
235,	3687.01,	3687.01,	3610.4,	3640.47,	4681810000.00
234,	3651.94,	3736.74,	3640.61,	3719.04,	4684850000.00
233,	3686.44,	3717.53,	3623.29,	3647.29,	4577740000.00
232,	3682.72,	3715.67,	3644.76,	3655.04,	4886140000.00
231,	3727.14,	3727.14,	3647.47,	3693.23,	5144270000.00
230,	3782.36,	3790.9,	3749.45,	3757.99,	4284600000.00
229,	3871.4,	3907.07,	3789.49,	3789.93,	4078330000.00
228,	3875.23,	3876.01,	3827.54,	3855.93,	4058050000.00
227,	3849.91,	3900.45,	3838.5,	3899.89,	3766850000.00
226,	3880.95,	3880.95,	3837.08,	3873.33,	7954650000.00
225,	3932.41,	3959.14,	3888.28,	3901.35,	4441830000.00
224,	3940.73,	3961.94,	3912.18,	3946.01,	4293240000.00
223,	4037.12,	4037.12,	3921.28,	3932.69,	4224550000.00
222,	4083.67,	4119.28,	4083.67,	4110.41,	3814200000.00
221,	4022.94,	4076.81,	4022.94,	4067.36,	3901940000.00
220,	3959.94,	4010.5,	3944.81,	4006.18,	3966850000.00
219,	3909.43,	3987.89,	3906.03,	3979.87,	3890320000.00
218,	3930.89,	3942.55,	3886.75,	3908.19,	4127340000.00
217,	3994.66,	4018.43,	3906.21,	3924.26,	4134920000.00
216,	3936.73,	3970.23,	3903.65,	3966.85,	3754570000.00
215,	4000.67,	4015.37,	3954.53,	3955,	3797860000.00
214,	4041.25,	4044.98,	3965.21,	3986.16,	3190580000.00
213,	4034.58,	4062.99,	4017.42,	4030.61,	2963020000.00
212,	4198.74,	4203.04,	4057.66,	4057.66,	3175260000.00
211,	4153.26,	4200.54,	4147.59,	4199.12,	2976050000.00
210,	4126.55,	4156.56,	4119.97,	4140.77,	3056910000.00
209,	4133.09,	4159.77,	4124.03,	4128.73,	3117800000.00
208,	4195.08,	4195.08,	4129.86,	4137.99,	3365220000.00
207,	4266.31,	4266.31,	4218.7,	4228.48,	3210680000.00
206,	4273.13,	4292.53,	4261.98,	4283.74,	2871990000.00
205,	4280.4,	4302.18,	4253.08,	4274.04,	3293430000.00
204,	4290.46,	4325.28,	4277.77,	4305.2,	3792010000.00
203,	4269.37,	4301.79,	4256.9,	4297.14,	3087740000.00
202,	4225.02,	4280.47,	4219.78,	4280.15,	3252290000.00
201,	4227.4,	4257.91,	4201.41,	4207.27,	3925060000.00
200,	4181.02,	4211.03,	4177.26,	4210.24,	3998590000.00
199,	4133.11,	4137.3,	4112.09,	4122.47,	3337150000.00
198,	4155.93,	4186.62,	4128.97,	4140.06,	3604650000.00
197,	4115.87,	4151.58,	4107.31,	4145.19,	3540260000.00
196,	4154.85,	4161.29,	4135.42,	4151.94,	3565810000.00
195,	4107.96,	4167.66,	4107.96,	4155.17,	3544410000.00
194,	4104.21,	4140.47,	4079.81,	4091.19,	3880790000.00
193,	4112.38,	4144.95,	4096.02,	4118.63,	3540960000.00
192,	4087.33,	4140.15,	4079.22,	4130.29,	3817740000.00
191,	4026.13,	4078.95,	3992.97,	4072.43,	3882850000.00
190,	3951.43,	4039.56,	3951.43,	4023.61,	3584170000.00
189,	3953.22,	3953.22,	3910.74,	3921.05,	3083420000.00
188,	3965.72,	3975.3,	3943.46,	3966.84,	2988650000.00
187,	3998.43,	4012.44,	3938.86,	3961.63,	3246220000.00
186,	3955.47,	3999.29,	3927.64,	3998.95,	3586030000.00
185,	3935.32,	3974.13,	3922.03,	3959.9,	3452150000.00
184,	3860.73,	3939.81,	3860.73,	3936.69,	3160350000.00
183,	3883.79,	3902.44,	3818.63,	3830.85,	3414470000.00
182,	3818,	3863.62,	3817.18,	3863.16,	3537130000.00
181,	3763.99,	3796.41,	3721.56,	3790.38,	3447500000.00
180,	3779.67,	3829.44,	3759.07,	3801.78,	3166580000.00
179,	3851.95,	3873.41,	3802.36,	3818.8,	3138460000.00
178,	3880.94,	3880.94,	3847.22,	3854.43,	3023830000.00
177,	3888.26,	3918.5,	3869.34,	3899.38,	2844620000.00
176,	3858.85,	3910.63,	3858.85,	3902.62,	3337710000.00
175,	3831.98,	3870.91,	3809.37,	3845.08,	3613120000.00
174,	3792.61,	3832.19,	3742.06,	3831.39,	4427900000.00
173,	3781,	3829.82,	3752.1,	3825.33,	3268240000.00
172,	3785.99,	3818.99,	3738.67,	3785.38,	4032260000.00
171,	3825.09,	3836.5,	3799.02,	3818.83,	3458850000.00
170,	3913,	3945.86,	3820.14,	3821.55,	3590980000.00
169,	3920.76,	3927.72,	3889.66,	3900.11,	3385120000.00
168,	3821.75,	3913.65,	3821.75,	3911.74,	6742870000.00
167,	3774.71,	3802.58,	3743.52,	3795.73,	4078100000.00
166,	3733.89,	3801.79,	3717.69,	3759.89,	4342270000.00
165,	3715.31,	3779.65,	3715.31,	3764.79,	4124600000.00
164,	3665.9,	3707.71,	3636.87,	3674.84,	6954110000.00
163,	3728.18,	3728.18,	3639.77,	3666.77,	4511200000.00
162,	3764.05,	3837.56,	3722.3,	3789.99,	4474610000.00
161,	3763.52,	3778.18,	3705.68,	3735.48,	4126400000.00
160,	3838.15,	3838.15,	3734.3,	3749.63,	4572820000.00
159,	3974.39,	3974.39,	3900.16,	3900.86,	3936120000.00
158,	4101.65,	4119.1,	4017.17,	4017.82,	3192330000.00
157,	4147.12,	4160.14,	4107.2,	4115.77,	3090180000.00
