Days,Open,High,Low,Close
23817,	3657.1,	3757.89,	3647.42,	3752.75
23816,	3689.05,	3736,	3656.44,	3665.78
23815,	3703.11,	3728.58,	3666.51,	3695.16
23814,	3746.26,	3762.79,	3686.53,	3719.98
23813,	3638.65,	3689.73,	3638.65,	3677.95
23812,	3690.41,	3712,	3579.68,	3583.07
23811,	3520.37,	3685.41,	3491.58,	3669.91
23810,	3590.83,	3608.34,	3573.86,	3577.03
23809,	3595.86,	3640.66,	3568.45,	3588.84
23808,	3647.51,	3652.17,	3588.1,	3612.39
23807,	3706.74,	3706.74,	3620.73,	3639.66
23806,	3771.97,	3797.93,	3739.22,	3744.52
23805,	3753.25,	3806.91,	3722.66,	3783.28
23804,	3726.46,	3791.92,	3726.46,	3790.93
23803,	3609.78,	3698.35,	3604.93,	3678.43
23802,	3633.48,	3671.44,	3584.13,	3585.62
23801,	3687.01,	3687.01,	3610.4,	3640.47
23800,	3651.94,	3736.74,	3640.61,	3719.04
23799,	3686.44,	3717.53,	3623.29,	3647.29
23798,	3682.72,	3715.67,	3644.76,	3655.04
23797,	3727.14,	3727.14,	3647.47,	3693.23
23796,	3782.36,	3790.9,	3749.45,	3757.99
23795,	3871.4,	3907.07,	3789.49,	3789.93
23794,	3875.23,	3876.01,	3827.54,	3855.93
23793,	3849.91,	3900.45,	3838.5,	3899.89
23792,	3880.95,	3880.95,	3837.08,	3873.33
23791,	3932.41,	3959.14,	3888.28,	3901.35
23790,	3940.73,	3961.94,	3912.18,	3946.01
23789,	4037.12,	4037.12,	3921.28,	3932.69
23788,	4083.67,	4119.28,	4083.67,	4110.41
23787,	4022.94,	4076.81,	4022.94,	4067.36
23786,	3959.94,	4010.5,	3944.81,	4006.18
23785,	3909.43,	3987.89,	3906.03,	3979.87
23784,	3930.89,	3942.55,	3886.75,	3908.19
23783,	3994.66,	4018.43,	3906.21,	3924.26
23782,	3936.73,	3970.23,	3903.65,	3966.85
23781,	4000.67,	4015.37,	3954.53,	3955
23780,	4041.25,	4044.98,	3965.21,	3986.16
23779,	4034.58,	4062.99,	4017.42,	4030.61
23778,	4198.74,	4203.04,	4057.66,	4057.66
23777,	4153.26,	4200.54,	4147.59,	4199.12
23776,	4126.55,	4156.56,	4119.97,	4140.77
23775,	4133.09,	4159.77,	4124.03,	4128.73
23774,	4195.08,	4195.08,	4129.86,	4137.99
23773,	4266.31,	4266.31,	4218.7,	4228.48
23772,	4273.13,	4292.53,	4261.98,	4283.74
23771,	4280.4,	4302.18,	4253.08,	4274.04
23770,	4290.46,	4325.28,	4277.77,	4305.2
23769,	4269.37,	4301.79,	4256.9,	4297.14
23768,	4225.02,	4280.47,	4219.78,	4280.15
23767,	4227.4,	4257.91,	4201.41,	4207.27
23766,	4181.02,	4211.03,	4177.26,	4210.24
23765,	4133.11,	4137.3,	4112.09,	4122.47
23764,	4155.93,	4186.62,	4128.97,	4140.06
23763,	4115.87,	4151.58,	4107.31,	4145.19
23762,	4154.85,	4161.29,	4135.42,	4151.94
23761,	4107.96,	4167.66,	4107.96,	4155.17
23760,	4104.21,	4140.47,	4079.81,	4091.19
23759,	4112.38,	4144.95,	4096.02,	4118.63
23758,	4087.33,	4140.15,	4079.22,	4130.29
23757,	4026.13,	4078.95,	3992.97,	4072.43
23756,	3951.43,	4039.56,	3951.43,	4023.61
23755,	3953.22,	3953.22,	3910.74,	3921.05
23754,	3965.72,	3975.3,	3943.46,	3966.84
23753,	3998.43,	4012.44,	3938.86,	3961.63
23752,	3955.47,	3999.29,	3927.64,	3998.95
23751,	3935.32,	3974.13,	3922.03,	3959.9
23750,	3860.73,	3939.81,	3860.73,	3936.69
23749,	3883.79,	3902.44,	3818.63,	3830.85
23748,	3818,	3863.62,	3817.18,	3863.16
23747,	3763.99,	3796.41,	3721.56,	3790.38
23746,	3779.67,	3829.44,	3759.07,	3801.78
23745,	3851.95,	3873.41,	3802.36,	3818.8
23744,	3880.94,	3880.94,	3847.22,	3854.43
23743,	3888.26,	3918.5,	3869.34,	3899.38
23742,	3858.85,	3910.63,	3858.85,	3902.62
23741,	3831.98,	3870.91,	3809.37,	3845.08
23740,	3792.61,	3832.19,	3742.06,	3831.39
23739,	3781,	3829.82,	3752.1,	3825.33
23738,	3785.99,	3818.99,	3738.67,	3785.38
23737,	3825.09,	3836.5,	3799.02,	3818.83
23736,	3913,	3945.86,	3820.14,	3821.55
23735,	3920.76,	3927.72,	3889.66,	3900.11
23734,	3821.75,	3913.65,	3821.75,	3911.74
23733,	3774.71,	3802.58,	3743.52,	3795.73
23732,	3733.89,	3801.79,	3717.69,	3759.89
23731,	3715.31,	3779.65,	3715.31,	3764.79
23730,	3665.9,	3707.71,	3636.87,	3674.84
23729,	3728.18,	3728.18,	3639.77,	3666.77
23728,	3764.05,	3837.56,	3722.3,	3789.99
23727,	3763.52,	3778.18,	3705.68,	3735.48
23726,	3838.15,	3838.15,	3734.3,	3749.63
23725,	3974.39,	3974.39,	3900.16,	3900.86
23724,	4101.65,	4119.1,	4017.17,	4017.82
23723,	4147.12,	4160.14,	4107.2,	4115.77
23722,	4096.47,	4164.86,	4080.19,	4160.68
23721,	4134.72,	4168.78,	4109.18,	4121.43
23720,	4137.57,	4142.67,	4098.67,	4108.54
23719,	4095.41,	4177.51,	4074.37,	4176.82
23718,	4149.78,	4166.54,	4073.85,	4101.23
23717,	4151.09,	4168.34,	4104.88,	4132.15
23716,	4077.43,	4158.49,	4077.43,	4158.24
23715,	3984.6,	4075.14,	3984.6,	4057.84
23714,	3929.59,	3999.33,	3925.03,	3978.73
23713,	3942.94,	3955.68,	3875.13,	3941.48
23712,	3919.42,	3981.88,	3909.04,	3973.75
23711,	3927.76,	3943.42,	3810.32,	3901.36
23710,	3899,	3945.96,	3876.58,	3900.79
23709,	4051.98,	4051.98,	3911.91,	3923.68
23708,	4052,	4090.72,	4033.93,	4088.85
23707,	4013.02,	4046.46,	3983.99,	4008.01
23706,	3963.9,	4038.88,	3963.9,	4023.89
23705,	3903.95,	3964.8,	3858.87,	3930.08
23704,	3990.08,	4049.09,	3928.82,	3935.18
23703,	4035.18,	4068.82,	3958.17,	4001.05
23702,	4081.27,	4081.27,	3975.48,	3991.24
23701,	4128.17,	4157.69,	4067.91,	4123.34
23700,	4270.43,	4270.43,	4106.01,	4146.87
23699,	4181.18,	4307.66,	4148.91,	4300.17
23698,	4159.78,	4200.1,	4147.08,	4175.48
23697,	4130.61,	4169.81,	4062.51,	4155.38
23696,	4253.75,	4269.68,	4124.28,	4131.93
23695,	4222.58,	4308.45,	4188.63,	4287.5
23694,	4186.52,	4240.71,	4162.9,	4183.96
23693,	4278.14,	4278.14,	4175.04,	4175.2
23692,	4255.34,	4299.02,	4200.82,	4296.12
23691,	4385.83,	4385.83,	4267.62,	4271.78
23690,	4489.17,	4512.94,	4384.47,	4393.66
23689,	4472.26,	4488.29,	4448.76,	4459.45
23688,	4390.63,	4471.03,	4390.63,	4462.21
23687,	4385.63,	4410.31,	4370.3,	4391.69
23686,	4449.12,	4460.46,	4390.77,	4392.59
23685,	4394.3,	4453.92,	4392.7,	4446.59
23684,	4437.59,	4471,	4381.34,	4397.45
23683,	4462.64,	4464.35,	4408.38,	4412.53
23682,	4494.15,	4520.41,	4474.6,	4488.28
23681,	4474.65,	4521.16,	4450.3,	4500.21
23680,	4494.17,	4503.94,	4450.04,	4481.15
23679,	4572.45,	4593.45,	4514.17,	4525.12
23678,	4547.97,	4583.5,	4539.21,	4582.64
23677,	4540.32,	4548.7,	4507.57,	4545.86
23676,	4599.02,	4603.07,	4530.41,	4530.41
23675,	4624.2,	4627.77,	4581.32,	4602.45
23674,	4602.86,	4637.3,	4589.66,	4631.6
23673,	4541.09,	4575.65,	4517.69,	4575.52
23672,	4522.91,	4546.03,	4501.07,	4543.06
23671,	4469.98,	4520.58,	4465.17,	4520.16
23670,	4493.1,	4501.07,	4455.81,	4456.24
23669,	4469.1,	4522,	4469.1,	4511.61
23668,	4462.4,	4481.75,	4424.3,	4461.18
23667,	4407.34,	4465.4,	4390.57,	4463.12
23666,	4345.11,	4412.67,	4335.65,	4411.67
23665,	4288.14,	4358.9,	4251.99,	4357.86
23664,	4188.82,	4271.05,	4187.9,	4262.45
23663,	4202.75,	4247.57,	4161.72,	4173.11
23662,	4279.5,	4291.01,	4200.49,	4204.31
23661,	4252.55,	4268.28,	4209.8,	4259.52
23660,	4223.1,	4299.4,	4223.1,	4277.88
23659,	4202.66,	4276.94,	4157.87,	4170.7
23658,	4327.01,	4327.01,	4199.85,	4201.09
23657,	4342.12,	4342.12,	4284.98,	4328.87
23656,	4401.31,	4416.78,	4345.56,	4363.49
23655,	4322.56,	4401.48,	4322.56,	4386.54
23654,	4363.14,	4378.45,	4279.54,	4306.26
23653,	4354.17,	4388.84,	4315.12,	4373.94
23652,	4298.38,	4385.34,	4286.83,	4384.65
23651,	4155.77,	4294.73,	4114.65,	4288.7
23650,	4324.93,	4341.51,	4221.51,	4225.5
23649,	4332.74,	4362.12,	4267.11,	4304.76
23648,	4384.57,	4394.6,	4327.22,	4348.87
23647,	4456.06,	4456.06,	4373.81,	4380.26
23646,	4455.75,	4489.55,	4429.68,	4475.01
23645,	4429.28,	4472.77,	4429.28,	4471.07
23644,	4412.61,	4426.22,	4364.84,	4401.67
23643,	4506.27,	4526.33,	4401.41,	4418.64
23642,	4553.24,	4588.92,	4484.31,	4504.08
23641,	4547,	4590.03,	4547,	4587.18
23640,	4480.02,	4531.32,	4465.4,	4521.54
23639,	4505.75,	4521.86,	4471.47,	4483.87
23638,	4482.79,	4539.66,	4451.5,	4500.53
23637,	4535.41,	4542.88,	4470.39,	4477.44
23636,	4566.39,	4595.31,	4544.32,	4589.38
23635,	4519.57,	4550.49,	4483.53,	4546.54
23634,	4431.79,	4516.89,	4414.02,	4515.55
23633,	4336.19,	4432.72,	4292.46,	4431.85
23632,	4380.58,	4428.74,	4309.5,	4326.51
23631,	4408.43,	4453.23,	4304.8,	4349.93
23630,	4366.64,	4411.01,	4287.11,	4356.45
23629,	4356.32,	4417.35,	4222.62,	4410.13
23628,	4471.38,	4494.52,	4395.34,	4397.94
23627,	4547.35,	4602.11,	4477.95,	4482.73
23626,	4588.03,	4611.55,	4530.2,	4532.76
23625,	4632.24,	4632.24,	4568.7,	4577.11
23624,	4637.99,	4665.13,	4614.75,	4662.85
23623,	4733.56,	4744.13,	4650.29,	4659.03
23622,	4728.59,	4748.83,	4706.71,	4726.35
23621,	4669.14,	4714.13,	4638.27,	4713.07
